variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,body_frac_min,close_near_high_max,breakout_buffer_atr,exit_profile,winner_loser_ratio,return_over_dd
QX_B0.55_C0.30_BUF0.15_P25_1p5R,chase,0.0032005433870010425,-0.006995826245854375,22,19.212034340577326,12.493346962371184,1.2772358842200124,28.77865377933586,-2.253198029815027,0.5678794073805083,0.19069374266228534,-29.806147685676233,-1.978353108658365,0.55,0.3,0.15,P25_1p5R,12.772358842200124,0.45749326448718447
QX_B0.60_C0.30_BUF0.10_P25_1p5R,chase,0.0030940240044206035,-0.007035524161379425,21,18.898954463331833,12.376147848498501,1.273922757359232,28.77865377933586,-2.3779557742196435,0.5893403737380238,0.20462817048746762,-29.923346799548916,-2.504069846824548,0.6,0.3,0.1,P25_1p5R,12.102266194912703,0.43977164081175885
QX_B0.60_C0.30_BUF0.15_P25_1p5R,chase,0.0030940240044206035,-0.007035524161379425,21,18.898954463331833,12.376147848498501,1.273922757359232,28.77865377933586,-2.3779557742196435,0.5893403737380238,0.20462817048746762,-29.923346799548916,-2.504069846824548,0.6,0.3,0.15,P25_1p5R,12.102266194912703,0.43977164081175885
QX_B0.55_C0.20_BUF0.10_P33_2R,chase,0.003420552733033988,-0.005711212889554562,18,9.771711953403798,4.605710681747826,1.0936084291703176,53.80759049716384,-2.894228224436235,0.255872815652657,-0.165627031053236,-49.20187981541599,-12.666058705249092,0.55,0.2,0.1,P33_2R,18.5913432958954,0.5989187934650374
QX_B0.55_C0.20_BUF0.15_P33_2R,chase,0.003420552733033988,-0.005711212889554562,18,9.771711953403798,4.605710681747826,1.0936084291703176,53.80759049716384,-2.894228224436235,0.255872815652657,-0.165627031053236,-49.20187981541599,-12.666058705249092,0.55,0.2,0.15,P33_2R,18.5913432958954,0.5989187934650374
QX_B0.60_C0.20_BUF0.10_P33_2R,chase,0.003420552733033988,-0.005711212889554562,18,9.771711953403798,4.605710681747826,1.0936084291703176,53.80759049716384,-2.894228224436235,0.255872815652657,-0.165627031053236,-49.20187981541599,-12.666058705249092,0.6,0.2,0.1,P33_2R,18.5913432958954,0.5989187934650374
QX_B0.60_C0.20_BUF0.15_P33_2R,chase,0.003420552733033988,-0.005711212889554562,18,9.771711953403798,4.605710681747826,1.0936084291703176,53.80759049716384,-2.894228224436235,0.255872815652657,-0.165627031053236,-49.20187981541599,-12.666058705249092,0.6,0.2,0.15,P33_2R,18.5913432958954,0.5989187934650374
QX_B0.50_C0.20_BUF0.10_P33_2R,chase,0.0025025115010555155,-0.006621106331680338,19,1.0556503328100082,-4.370725553845962,0.9248736324713528,53.80759049716384,-3.2321286695005442,-0.23003818704452433,-0.21241321743028055,-58.178316051009794,-12.121003551231098,0.5,0.2,0.1,P33_2R,16.64772538448435,0.3779597208825395
QX_B0.50_C0.20_BUF0.15_P33_2R,chase,0.0025025115010555155,-0.006621106331680338,19,1.0556503328100082,-4.370725553845962,0.9248736324713528,53.80759049716384,-3.2321286695005442,-0.23003818704452433,-0.21241321743028055,-58.178316051009794,-12.121003551231098,0.5,0.2,0.15,P33_2R,16.64772538448435,0.3779597208825395
QX_B0.50_C0.25_BUF0.05_P33_2R,chase,0.002531528669548644,-0.005825923508704589,23,-0.4451371822479054,-7.019188971364235,0.9056890867521861,33.70343171479807,-3.5440977333790653,-0.30518212918974935,0.041567519901903015,-60.82677946852806,-2.088241141515533,0.5,0.25,0.05,P33_2R,9.509735410897953,0.4345283053864771
QX_B0.55_C0.25_BUF0.05_P33_2R,chase,0.002531528669548644,-0.005825923508704589,23,-0.4451371822479054,-7.019188971364235,0.9056890867521861,33.70343171479807,-3.5440977333790653,-0.30518212918974935,0.041567519901903015,-60.82677946852806,-2.088241141515533,0.55,0.25,0.05,P33_2R,9.509735410897953,0.4345283053864771
QX_B0.60_C0.25_BUF0.05_P33_2R,chase,0.002343410947896807,-0.00586570696558486,22,-0.7682388678933972,-7.138794665230304,0.9042359428077039,33.70343171479807,-3.7272829047413225,-0.32449066660137743,0.048051799508496335,-60.94638516239414,-2.595078730302744,0.6,0.25,0.05,P33_2R,9.04235942807704,0.39951040201053567
QX_B0.50_C0.30_BUF0.05_P25_1p5R,chase,0.0008566866287922359,-0.007012119585343535,23,-3.674466281821573,-10.691321265027721,0.8433474569482468,28.77865377933586,-3.2499347058904484,-0.46484005500120523,0.1378636537043655,-52.990815913075124,-2.042623978011612,0.5,0.3,0.05,P25_1p5R,8.85514829795659,0.12217227877614205
QX_B0.55_C0.30_BUF0.05_P25_1p5R,chase,0.0008566866287922359,-0.007012119585343535,23,-3.674466281821573,-10.691321265027721,0.8433474569482468,28.77865377933586,-3.2499347058904484,-0.46484005500120523,0.1378636537043655,-52.990815913075124,-2.042623978011612,0.55,0.3,0.05,P25_1p5R,8.85514829795659,0.12217227877614205
QX_B0.60_C0.30_BUF0.05_P25_1p5R,chase,0.000750167246211797,-0.007051909957655256,22,-3.9875461590670653,-10.8085203789004,0.8419017116450321,28.77865377933586,-3.4182913968786055,-0.4912963808591091,0.14876333076667958,-53.10801502694781,-2.547365903959025,0.6,0.3,0.05,P25_1p5R,8.419017116450322,0.10637788212219686
QX_B0.55_C0.20_BUF0.05_P33_2R,chase,0.0010766959748251814,-0.00572451124164397,19,-13.1147886689951,-18.57895754565107,0.7433368761463518,53.80759049716384,-4.021474891267494,-0.9778398708237405,-0.210825519069901,-72.3865480428149,-12.181349463066669,0.55,0.2,0.05,P33_2R,13.380063770634331,0.18808522324011978
QX_B0.60_C0.20_BUF0.05_P33_2R,chase,0.0010766959748251814,-0.00572451124164397,19,-13.1147886689951,-18.57895754565107,0.7433368761463518,53.80759049716384,-4.021474891267494,-0.9778398708237405,-0.210825519069901,-72.3865480428149,-12.181349463066669,0.6,0.2,0.05,P33_2R,13.380063770634331,0.18808522324011978
QX_B0.50_C0.25_BUF0.10_P25_1p5R,chase,-0.0002552159017179534,-0.006143675784044955,22,-15.830633356910774,-21.88202531898209,0.41082066153054453,15.257812910624311,-1.7685637252193527,-0.9946375144991859,-0.03310741409842922,-37.139838229606404,-1.9368981512971724,0.5,0.25,0.1,P25_1p5R,8.627233892141435,-0.041541238614958446
QX_B0.50_C0.25_BUF0.15_P25_1p5R,chase,-0.0002552159017179534,-0.006143675784044955,22,-15.830633356910774,-21.88202531898209,0.41082066153054453,15.257812910624311,-1.7685637252193527,-0.9946375144991859,-0.03310741409842922,-37.139838229606404,-1.9368981512971724,0.5,0.25,0.15,P25_1p5R,8.627233892141435,-0.041541238614958446
QX_B0.55_C0.25_BUF0.10_P25_1p5R,chase,-0.0002552159017179534,-0.006143675784044955,22,-15.830633356910774,-21.88202531898209,0.41082066153054453,15.257812910624311,-1.7685637252193527,-0.9946375144991859,-0.03310741409842922,-37.139838229606404,-1.9368981512971724,0.55,0.25,0.1,P25_1p5R,8.627233892141435,-0.041541238614958446
QX_B0.55_C0.25_BUF0.15_P25_1p5R,chase,-0.0002552159017179534,-0.006143675784044955,22,-15.830633356910774,-21.88202531898209,0.41082066153054453,15.257812910624311,-1.7685637252193527,-0.9946375144991859,-0.03310741409842922,-37.139838229606404,-1.9368981512971724,0.55,0.25,0.15,P25_1p5R,8.627233892141435,-0.041541238614958446
QX_B0.60_C0.25_BUF0.10_P25_1p5R,chase,-0.0003617352842982813,-0.006183545317346217,21,-16.143713234156266,-21.999224432854774,0.40952834681834444,15.257812910624311,-1.8628518671739542,-1.0475821158502274,-0.029830184214233283,-37.257037343479084,-2.460640843874727,0.6,0.25,0.1,P25_1p5R,8.190566936366888,-0.05849965767753549
QX_B0.60_C0.25_BUF0.15_P25_1p5R,chase,-0.0003617352842982813,-0.006183545317346217,21,-16.143713234156266,-21.999224432854774,0.40952834681834444,15.257812910624311,-1.8628518671739542,-1.0475821158502274,-0.029830184214233283,-37.257037343479084,-2.460640843874727,0.6,0.25,0.15,P25_1p5R,8.190566936366888,-0.05849965767753549
QX_B0.50_C0.20_BUF0.05_P33_2R,chase,0.00015865474284670888,-0.006636523337651301,20,-21.830850289588888,-27.555393781244852,0.6613276414867536,53.80759049716384,-4.282262330442563,-1.3777696890622426,-0.25301247172726005,-81.3629842784087,-11.687782528858694,0.5,0.2,0.05,P33_2R,12.565225188248318,0.02390630376399122
QX_B0.55_C0.20_BUF0.10_P25_1p5R,chase,-0.002549342964030976,-0.006346617831224588,18,-36.212847884658146,-41.14200694109219,0.0,,-2.2856670522828995,-2.2856670522828995,-0.40703992010585577,-40.91556076456728,-12.634384642812329,0.55,0.2,0.1,P25_1p5R,,-0.40168528054242036
QX_B0.55_C0.20_BUF0.15_P25_1p5R,chase,-0.002549342964030976,-0.006346617831224588,18,-36.212847884658146,-41.14200694109219,0.0,,-2.2856670522828995,-2.2856670522828995,-0.40703992010585577,-40.91556076456728,-12.634384642812329,0.55,0.2,0.15,P25_1p5R,,-0.40168528054242036
