variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,breakout_lookback,stop_atr,range_expand_mult,winner_loser_ratio,return_over_dd
XP_TK18_BL18_ST2.2_RE1.3,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,18,2.2,1.3,6.508647557482684,1.5099344268105221
XP_TK18_BL21_ST2.2_RE1.2,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,21,2.2,1.2,6.508647557482684,1.5099344268105221
XP_TK18_BL21_ST2.2_RE1.3,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,21,2.2,1.3,6.508647557482684,1.5099344268105221
XP_TK18_BL24_ST2.2_RE1.2,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,24,2.2,1.2,6.508647557482684,1.5099344268105221
XP_TK18_BL24_ST2.2_RE1.3,chase,0.01817042488151932,-0.012033916545568957,13,195.95336440242863,184.0431240674286,4.067904723426677,48.80659350280426,-7.498730430824086,14.1571633898022,2.334644834772261,79.56917406002191,-21.15130496022688,18.0,24,2.2,1.3,6.508647557482684,1.5099344268105221
XP_TK24_BL18_ST2.0_RE1.2,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,18,2.0,1.2,6.238068185282303,1.1719842141146621
XP_TK24_BL18_ST2.0_RE1.3,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,18,2.0,1.3,6.238068185282303,1.1719842141146621
XP_TK24_BL21_ST2.0_RE1.2,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,21,2.0,1.2,6.238068185282303,1.1719842141146621
XP_TK24_BL21_ST2.0_RE1.3,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,21,2.0,1.3,6.238068185282303,1.1719842141146621
XP_TK24_BL24_ST2.0_RE1.2,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,24,2.0,1.2,6.238068185282303,1.1719842141146621
XP_TK24_BL24_ST2.0_RE1.3,chase,0.014103560225380063,-0.012033916545568957,13,155.91975273018977,143.07564268018976,3.898792615801439,38.48652408881247,-6.169622220484077,11.005818667706905,1.8914432437189865,90.20203974274199,-19.119500464878946,24.0,24,2.0,1.3,6.238068185282303,1.1719842141146621
XP_TK24_BL18_ST2.2_RE1.2,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,18,2.2,1.2,5.331651961000942,1.161522018630282
XP_TK24_BL18_ST2.2_RE1.3,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,18,2.2,1.3,5.331651961000942,1.161522018630282
XP_TK24_BL21_ST2.2_RE1.2,chase,0.013977659038037604,-0.012033916545568957,12,154.5492101004474,141.90312778544737,3.808322829286387,38.48652408881247,-7.218498951230713,11.82526064878728,1.8939237799287294,89.0295248479996,-22.78203362189646,24.0,21,2.2,1.2,5.331651961000942,1.161522018630282
