variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,breakout_lookback,range_expand_mult,stop_atr,trail_atr,winner_loser_ratio,return_over_dd
A_L25_RE1.2_S1.8_T2.8,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.2,1.8,2.8,7.6696945889352035,1.7955522515902709
A_L25_RE1.3_S1.8_T2.0,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.3,1.8,2.0,7.6696945889352035,1.7955522515902709
A_L25_RE1.3_S1.8_T2.4,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.3,1.8,2.4,7.6696945889352035,1.7955522515902709
A_L25_RE1.3_S1.8_T2.8,chase,0.007966461843363248,-0.004436775279754501,20,89.97981803267106,82.85812181267107,1.9174236472338009,43.29355434864489,-5.644755973869281,4.142906090633554,0.6926709048731322,10.408975859206478,-12.090298190652552,25,1.3,1.8,2.8,7.6696945889352035,1.7955522515902709
A_L20_RE1.2_S1.6_T2.0,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.2,1.6,2.0,7.600773832267171,1.6058806191844601
A_L20_RE1.2_S1.6_T2.4,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.2,1.6,2.4,7.600773832267171,1.6058806191844601
A_L20_RE1.2_S1.6_T2.8,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.2,1.6,2.8,7.600773832267171,1.6058806191844601
A_L20_RE1.3_S1.6_T2.0,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.3,1.6,2.0,7.600773832267171,1.6058806191844601
A_L20_RE1.3_S1.6_T2.4,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.3,1.6,2.4,7.600773832267171,1.6058806191844601
A_L20_RE1.3_S1.6_T2.8,chase,0.006960051159064395,-0.004334102470580303,20,79.63222564348524,72.78884117348524,1.9001934580667927,38.411987606295426,-5.053694328231029,3.6394420586742617,0.6831676519048364,8.469685153739322,-10.789852705134642,20,1.3,1.6,2.8,7.600773832267171,1.6058806191844601
