variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,squeeze_atr_q,range_pos_threshold,take_R,trail_start_R,winner_loser_ratio,return_over_dd
PP_BW0.30_AQ0.35_RP0.55_TK10_TS1.6,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.55,10.0,1.6,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.55_TK10_TS2.0,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.55,10.0,2.0,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.60_TK10_TS1.2,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.6,10.0,1.2,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.60_TK10_TS1.6,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.6,10.0,1.6,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.60_TK10_TS2.0,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.6,10.0,2.0,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.65_TK10_TS1.2,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.65,10.0,1.2,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.65_TK10_TS1.6,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.65,10.0,1.6,7.293120251090219,1.3505915793781464
PP_BW0.30_AQ0.35_RP0.65_TK10_TS2.0,chase,0.014271996848382429,-0.010567218888595242,22,157.565999963843,146.44830534884304,2.1450353679677114,54.869360954283025,-7.523441142504242,6.656741152220138,1.177334755124998,45.598036877364486,-4.7584476203605375,0.3,0.35,0.65,10.0,2.0,7.293120251090219,1.3505915793781464
PP_BW0.25_AQ0.40_RP0.55_TK10_TS1.2,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.55,10.0,1.2,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.55_TK10_TS1.6,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.55,10.0,1.6,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.55_TK10_TS2.0,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.55,10.0,2.0,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.60_TK10_TS1.2,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.6,10.0,1.2,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.60_TK10_TS1.6,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.6,10.0,1.6,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.60_TK10_TS2.0,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.6,10.0,2.0,7.542363873205021,1.3212459501695748
PP_BW0.25_AQ0.40_RP0.65_TK10_TS1.2,chase,0.013957817682178186,-0.0105641328023649,23,154.3709855746105,143.3999936946105,2.095101075890284,54.869360954283025,-7.274822837600258,6.2347823345482825,1.0816555906163496,42.549725223131965,-4.760898812476137,0.25,0.4,0.65,10.0,1.2,7.542363873205021,1.3212459501695748
