variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,trail_atr,stop_atr,breakout_lookback,winner_loser_ratio,return_over_dd
PC_TK16_TR2.4_ST2.0_BL15,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.4,2.0,15,11.037397722510006,4.9360884718549
PC_TK16_TR2.8_ST2.0_BL12,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.8,2.0,12,11.037397722510006,4.9360884718549
PC_TK16_TR2.8_ST2.0_BL15,chase,0.028086644042903286,-0.005690060906130556,16,294.90041887850043,283.50087350850043,5.016998964777275,70.81523303227743,-6.4159356048078875,17.718804594281277,2.8485552485295136,121.79905228413477,-1.8731283467912507,16.0,2.8,2.0,15,11.037397722510006,4.9360884718549
PC_TK14_TR2.0_ST2.2_BL18,chase,0.02807961849776852,-0.005870450863143861,13,293.36922549546233,283.1837681604624,5.720528541011665,68.634722321411,-7.498730430824086,21.78336678157403,3.2417891608024454,127.57943938638545,-20.99210737134759,14.0,2.0,2.2,18,9.152845665618663,4.7832132748200475
PC_TK14_TR2.4_ST2.2_BL18,chase,0.02807961849776852,-0.005870450863143861,13,293.36922549546233,283.1837681604624,5.720528541011665,68.634722321411,-7.498730430824086,21.78336678157403,3.2417891608024454,127.57943938638545,-20.99210737134759,14.0,2.4,2.2,18,9.152845665618663,4.7832132748200475
PC_TK14_TR2.8_ST2.2_BL18,chase,0.02807961849776852,-0.005870450863143861,13,293.36922549546233,283.1837681604624,5.720528541011665,68.634722321411,-7.498730430824086,21.78336678157403,3.2417891608024454,127.57943938638545,-20.99210737134759,14.0,2.8,2.2,18,9.152845665618663,4.7832132748200475
PC_TK12_TR2.0_ST2.2_BL18,chase,0.027755220533576264,-0.008439292390495123,15,289.7899650833355,280.25801881833553,4.914881232188017,70.36917827980128,-7.158787258067088,18.68386792122237,2.7333478220613303,146.89423236198394,-18.211987291697234,12.0,2.0,2.2,18,9.829762464376032,3.288808972282556
PC_TK12_TR2.4_ST2.2_BL18,chase,0.027755220533576264,-0.008439292390495123,15,289.7899650833355,280.25801881833553,4.914881232188017,70.36917827980128,-7.158787258067088,18.68386792122237,2.7333478220613303,146.89423236198394,-18.211987291697234,12.0,2.4,2.2,18,9.829762464376032,3.288808972282556
PC_TK12_TR2.8_ST2.2_BL18,chase,0.027755220533576264,-0.008439292390495123,15,289.7899650833355,280.25801881833553,4.914881232188017,70.36917827980128,-7.158787258067088,18.68386792122237,2.7333478220613303,146.89423236198394,-18.211987291697234,12.0,2.8,2.2,18,9.829762464376032,3.288808972282556
PC_TK14_TR2.0_ST2.2_BL12,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.0,2.2,12,9.319160360419392,4.587692490280164
PC_TK14_TR2.0_ST2.2_BL15,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.0,2.2,15,9.319160360419392,4.587692490280164
PC_TK14_TR2.4_ST2.2_BL12,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.4,2.2,12,9.319160360419392,4.587692490280164
PC_TK14_TR2.4_ST2.2_BL15,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.4,2.2,15,9.319160360419392,4.587692490280164
PC_TK14_TR2.8_ST2.2_BL12,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.8,2.2,12,9.319160360419392,4.587692490280164
PC_TK14_TR2.8_ST2.2_BL15,chase,0.026681006844173183,-0.005815779261731602,15,280.67414551952453,269.52457063452454,4.659580180209696,68.634722321411,-7.364904097253051,17.9683047089683,2.660365199071831,113.92024186044765,-2.2109715836678654,14.0,2.8,2.2,15,9.319160360419392,4.587692490280164
